Time;PID;Name;Cmd;Upload;Download
1679761836.5960915;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];921;590
1679761837.6384034;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761838.650176;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761839.6604142;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761840.6726785;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761841.6928332;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761842.7046394;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761842.7050507;25084;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-l", "-t", "peer1peer2", "-n", "default", "-i", "1", "-d", "2"];1953;2485
1679761843.717188;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761843.7174294;25084;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-l", "-t", "peer1peer2", "-n", "default", "-i", "1", "-d", "2"];0;0
1679761843.7176332;25117;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-t", "peer1peer2", "-n", "default", "-i", "2", "-d", "1"];1356;4481
1679761844.7301636;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761844.7309089;25084;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-l", "-t", "peer1peer2", "-n", "default", "-i", "1", "-d", "2"];0;0
1679761844.7311819;25117;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-t", "peer1peer2", "-n", "default", "-i", "2", "-d", "1"];0;0
1679761845.739896;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761845.7400808;25084;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-l", "-t", "peer1peer2", "-n", "default", "-i", "1", "-d", "2"];0;0
1679761845.7402244;25117;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-t", "peer1peer2", "-n", "default", "-i", "2", "-d", "1"];0;0
1679761846.7603242;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761846.7606492;25084;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-l", "-t", "peer1peer2", "-n", "default", "-i", "1", "-d", "2"];651;657
1679761846.7609186;25117;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-t", "peer1peer2", "-n", "default", "-i", "2", "-d", "1"];651;657
1679761847.7706864;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761847.7710288;25084;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-l", "-t", "peer1peer2", "-n", "default", "-i", "1", "-d", "2"];651;657
1679761847.7713013;25117;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-t", "peer1peer2", "-n", "default", "-i", "2", "-d", "1"];651;657
1679761848.7837062;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761848.7838788;25084;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-l", "-t", "peer1peer2", "-n", "default", "-i", "1", "-d", "2"];0;0
1679761848.7840242;25117;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-t", "peer1peer2", "-n", "default", "-i", "2", "-d", "1"];0;0
1679761849.8508947;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761849.8555484;25084;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-l", "-t", "peer1peer2", "-n", "default", "-i", "1", "-d", "2"];0;0
1679761849.8561301;25117;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-t", "peer1peer2", "-n", "default", "-i", "2", "-d", "1"];0;0
1679761849.8575482;25152;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-t", "peer1peer2", "-n", "default", "-i", "3", "-d", "2"];1302;1828
1679761850.868277;442;NetworkManager;["/usr/sbin/NetworkManager", "--no-daemon"];0;0
1679761850.868607;25084;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-l", "-t", "peer1peer2", "-n", "default", "-i", "1", "-d", "2"];651;657
1679761850.8688707;25117;python3;["python3", "./../../rtun-routing/rtun.py", "-v", "INFO", "-g", "staysafeandgoodluck", "-f", "rendezvous.txt", "-t", "peer1peer2", "-n", "default", "-i", "2", "-d", "1"];1356;1911
