Timestamp;Offset;Event;Path
2023-02-19 21:15:06.845672;12;"LOOKUP SENT";P1-P2
2023-02-19 21:15:06.845792;12;"LOOKUP SENT";P1-P3
2023-02-19 21:15:12.377350;18;"LOOKUP SENT";P2-P4
2023-02-19 21:15:12.377530;18;"LOOKUP SENT";P2-P1
2023-02-19 21:15:17.820637;23;"LOOKUP SENT";P4-P2
2023-02-19 21:15:17.821655;23;"LOOKUP SENT";P4-P1
2023-02-19 21:15:17.821899;23;"LOOKUP SENT";P4-P3
2023-02-19 21:15:20.089537;25;"LOOKUP SENT";P3-P2
2023-02-19 21:15:20.089635;25;"LOOKUP SENT";P3-P4
2023-02-19 21:15:20.089672;25;"LOOKUP SENT";P3-P1
2023-02-19 21:15:20.857639;26;"LOOKUP SENT";P1-P4
2023-02-19 21:15:20.857940;26;"LOOKUP SENT";P1-P2
2023-02-19 21:15:20.857979;26;"LOOKUP SENT";P1-P3
2023-02-19 21:15:23.831123;29;"LOOKUP SENT";P4-P2
2023-02-19 21:15:23.831226;29;"LOOKUP SENT";P4-P1
2023-02-19 21:15:23.831262;29;"LOOKUP SENT";P4-P3
2023-02-19 21:15:26.382592;32;"LOOKUP SENT";P2-P4
2023-02-19 21:15:26.382698;32;"LOOKUP SENT";P2-P3
2023-02-19 21:15:26.382734;32;"LOOKUP SENT";P2-P1
2023-02-19 21:15:32.387549;38;"LOOKUP SENT";P2-P4
2023-02-19 21:15:32.387894;38;"LOOKUP SENT";P2-P3
2023-02-19 21:15:32.387940;38;"LOOKUP SENT";P2-P1
2023-02-19 21:15:33.838326;39;"LOOKUP SENT";P4-P2
2023-02-19 21:15:33.838432;39;"LOOKUP SENT";P4-P1
2023-02-19 21:15:33.838468;39;"LOOKUP SENT";P4-P3
2023-02-19 21:15:34.103006;39;"LOOKUP SENT";P3-P2
2023-02-19 21:15:34.103116;39;"LOOKUP SENT";P3-P4
2023-02-19 21:15:34.103152;39;"LOOKUP SENT";P3-P1
2023-02-19 21:15:35.870393;41;"LOOKUP SENT";P1-P4
2023-02-19 21:15:35.870581;41;"LOOKUP SENT";P1-P2
2023-02-19 21:15:35.870641;41;"LOOKUP SENT";P1-P3
2023-02-19 21:15:39.396319;45;"LOOKUP SENT";P2-P4
2023-02-19 21:15:39.396481;45;"LOOKUP SENT";P2-P3
2023-02-19 21:15:39.396547;45;"LOOKUP SENT";P2-P1
2023-02-19 21:15:46.114654;51;"LOOKUP SENT";P3-P2
2023-02-19 21:15:46.114693;51;"LOOKUP SENT";P3-P4
