Timestamp;Peer;Received;Source;Payload
2023-04-14 12:15:17.159000;P2;HELLO;P1;{"Message": "HELLO", "Peer": "P1"}
2023-04-14 12:15:18.161000;P2;LSA;P1;{"RID": "P1", "Port": 5001, "Neighbours": 1, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}], "SN": 1, "FLAG": 1}
2023-04-14 12:15:22.332000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467322330", "Route": [], "Path": ["P2"]}
2023-04-14 12:15:23.392000;P2;LSA;P1;{"RID": "P1", "Port": 5001, "Neighbours": 2, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P3", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}], "SN": 2, "FLAG": 1}
2023-04-14 12:15:24.403000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 1, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}], "SN": 1, "FLAG": 1}
2023-04-14 12:15:25.811000;P2;HELLO;P4;{"Message": "HELLO", "Peer": "P4"}
2023-04-14 12:15:26.813000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 1, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}], "SN": 1, "FLAG": 1}
2023-04-14 12:15:27.819000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467326255, "HBresp": 0}
2023-04-14 12:15:27.819000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 2, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}], "SN": 2, "FLAG": 1}
2023-04-14 12:15:28.823000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 1, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}], "SN": 1, "FLAG": 1}
2023-04-14 12:15:28.823000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 2, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}], "SN": 2, "FLAG": 1}
2023-04-14 12:15:30.828000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 2, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}], "SN": 2, "FLAG": 1}
2023-04-14 12:15:30.828000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 2, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}], "SN": 2, "FLAG": 1}
2023-04-14 12:15:31.295000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467331239, "HBresp": 1681467331271}
2023-04-14 12:15:31.342000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467331341", "Route": [], "Path": ["P2"]}
2023-04-14 12:15:31.913000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467331238, "HBresp": 1681467331859}
2023-04-14 12:15:34.039000;P2;LOOKUP;P4;{"Message": "LOOKUP", "Destination": "P1", "Source": "P4", "TTL": 3, "ID": "P4_1681467334003", "Route": [], "Path": ["P4", "P2"]}
2023-04-14 12:15:39.547000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467339514, "HBresp": 0}
2023-04-14 12:15:40.353000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467340352", "Route": [], "Path": ["P2"]}
2023-04-14 12:15:41.325000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467341272, "HBresp": 0}
2023-04-14 12:15:44.046000;P2;LOOKUP;P4;{"Message": "LOOKUP", "Destination": "P1", "Source": "P4", "TTL": 3, "ID": "P4_1681467344014", "Route": [], "Path": ["P4", "P2"]}
2023-04-14 12:15:46.303000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467346255, "HBresp": 1681467346279}
2023-04-14 12:15:46.330000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467346254, "HBresp": 1681467346282}
2023-04-14 12:15:50.052000;P2;LOOKUP;P4;{"Message": "LOOKUP", "Destination": "P1", "Source": "P4", "TTL": 3, "ID": "P4_1681467350020", "Route": [], "Path": ["P4", "P2"]}
2023-04-14 12:15:50.362000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467350361", "Route": [], "Path": ["P2"]}
2023-04-14 12:15:54.547000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467354516, "HBresp": 0}
2023-04-14 12:15:56.338000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467356288, "HBresp": 0}
2023-04-14 12:15:56.369000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467356368", "Route": [], "Path": ["P2"]}
